p2_points_advantage,p2_serve_advantage,p2_break_points_won,p2_unforced_errors,p2_winners,p2_sets_won,p2_games_won,p2_ace,p2_double_fault
0,0.35,0,0,0,0,0,0,0
-1,0.35,0,-1,0,0,0,0,0
0,0.5249999999999999,0,-1,0,0,0,0,0
1,0.7,0,-1,1,0,0,0,0
-1,0.5249999999999999,0,-1,1,0,0,0,0
1,0.7,0,-1,1,0,0,0,0
3,0.875,0,-1,1,0,0,0,0
3,0.7,0,-1,1,0,1,0,0
5,0.7,0,0,2,0,1,0,0
5,0.5249999999999999,0,0,2,0,1,0,0
3,0.35,0,0,1,0,1,0,0
3,0.35,0,0,1,0,1,0,0
3,0.175,1,0,1,0,1,0,0
3,0.175,1,0,1,0,1,0,0
1,0.175,1,-1,1,0,1,0,0
-1,0.175,1,-1,0,0,1,0,0
-1,0.35,1,-1,0,0,1,0,0
1,0.5249999999999999,1,-1,0,0,1,0,0
3,0.7,1,-1,1,0,1,1,0
3,0.7,0,-1,1,0,1,1,0
1,0.5249999999999999,0,-1,1,0,1,1,0
3,0.5249999999999999,0,0,1,0,1,1,0
5,0.5249999999999999,0,0,1,0,1,1,0
3,0.35,0,0,1,0,1,1,0
1,0.175,0,0,1,0,1,1,0
1,0.0,0,0,0,0,0,0,0
1,0.0,1,0,0,0,0,0,0
3,0.175,1,0,0,0,1,0,0
3,0.35,1,0,0,0,1,0,0
1,0.35,1,0,0,0,1,0,0
3,0.5249999999999999,1,0,0,0,1,0,0
5,0.7,1,0,1,0,1,0,0
3,0.7,1,0,1,0,2,0,0
1,0.7,0,0,1,0,1,0,0
1,0.5249999999999999,0,0,1,0,1,0,0
1,0.35,0,0,1,0,1,0,0
1,0.35,0,0,1,0,1,0,0
-1,0.175,0,0,1,0,1,0,0
-1,0.175,0,0,0,0,0,0,0
1,0.35,0,0,0,0,0,0,0
3,0.5249999999999999,0,0,0,0,0,0,0
3,0.7,0,0,1,0,0,0,0
1,0.7,0,0,1,1,-5,0,0
3,0.7,0,0,1,1,-5,0,0
3,0.7,0,0,1,1,-5,0,0
1,0.5249999999999999,0,0,1,1,-5,0,0
-1,0.35,0,0,1,1,-5,0,0
-3,0.175,0,-1,1,1,-5,0,-1
-5,0.0,0,-1,0,0,0,0,-1
-3,0.175,0,-1,1,0,0,0,-1
-3,0.35,0,-1,2,0,0,0,-1
-1,0.5249999999999999,0,-1,2,0,0,0,-1
-1,0.5249999999999999,0,-1,2,0,0,0,-1
-1,0.5249999999999999,0,-2,2,0,0,0,-1
1,0.7,0,-1,2,0,0,0,0
1,0.7,0,-2,2,0,0,0,0
-1,0.5249999999999999,0,-3,1,0,0,0,0
-1,0.35,0,-3,0,0,0,0,0
-3,0.175,0,-3,0,0,0,0,0
-3,0.175,0,-3,0,0,0,0,0
-1,0.175,0,-2,1,0,0,0,0
-3,0.0,0,-2,1,0,0,0,0
-1,0.0,0,-1,1,0,0,0,0
1,0.0,0,0,1,0,0,0,0
1,0.0,1,0,1,0,0,0,0
1,0.0,1,-1,1,0,1,0,0
1,0.0,1,-1,1,0,1,0,0
1,0.175,1,-1,0,0,1,0,0
3,0.35,1,-1,0,0,1,0,0
1,0.35,1,-1,0,0,1,0,0
1,0.5249999999999999,1,-1,0,0,1,0,0
1,0.7,0,-1,1,0,0,0,0
3,0.875,0,0,1,0,0,0,0
5,0.875,0,0,1,0,1,0,0
3,0.7,0,0,1,0,1,0,0
1,0.5249999999999999,0,-1,1,0,1,0,0
1,0.5249999999999999,0,-1,1,0,1,0,0
1,0.35,0,-1,1,0,1,0,0
1,0.175,0,-1,0,0,1,0,0
-1,0.0,0,-1,0,0,0,0,0
-1,0.0,0,-1,1,0,0,0,0
-1,0.0,0,-1,1,0,0,0,0
-1,0.0,0,-1,1,0,0,0,0
-1,0.0,0,-1,1,0,0,0,0
-3,0.0,0,-1,1,0,0,0,0
-3,0.175,0,-1,1,0,0,0,0
-1,0.35,0,-1,2,0,0,0,0
-1,0.5249999999999999,0,-1,1,0,0,0,0
1,0.7,0,-1,1,0,0,0,0
1,0.7,0,0,1,0,1,0,0
1,0.7,0,0,1,0,1,0,0
1,0.7,0,0,1,0,1,0,0
-1,0.5249999999999999,0,0,1,0,1,0,0
-1,0.5249999999999999,0,0,1,0,1,0,0
-3,0.35,0,0,1,0,1,0,0
-3,0.35,0,0,1,0,0,0,0
-1,0.5249999999999999,0,0,1,0,0,0,0
1,0.7,0,0,1,0,0,0,0
3,0.7,0,0,1,0,1,0,0
3,0.7,0,0,1,0,1,0,0
1,0.5249999999999999,0,0,0,0,1,0,0
1,0.5249999999999999,0,0,0,0,1,0,0
-1,0.35,0,0,0,0,1,0,0
-3,0.175,0,-1,0,0,1,0,0
-3,0.175,0,-1,0,0,0,0,0
-3,0.35,0,-1,0,0,0,0,0
-3,0.35,0,-1,0,0,0,0,0
-1,0.5249999999999999,0,-1,0,0,0,0,0
-1,0.5249999999999999,0,-1,0,0,0,0,0
1,0.7,0,-1,0,0,0,0,0
3,0.875,0,0,0,0,0,0,0
3,0.7,0,0,0,0,1,0,0
1,0.5249999999999999,0,0,0,0,1,0,0
1,0.5249999999999999,0,0,0,0,1,0,0
-1,0.35,0,0,0,0,1,0,0
-1,0.35,0,0,0,0,1,0,0
-1,0.35,0,0,1,0,1,0,0
-3,0.175,0,-1,1,0,0,0,-1
-3,0.35,0,-1,1,0,0,0,-1
-3,0.35,0,-2,1,0,0,0,-1
-1,0.5249999999999999,0,-2,1,0,0,0,-1
1,0.7,0,-2,1,0,0,0,-1
3,0.7,0,-2,1,0,1,0,-1
3,0.7,0,-2,0,0,1,0,-1
5,0.875,0,-1,0,0,1,0,0
3,0.7,0,-1,0,0,1,0,0
3,0.7,0,0,0,0,1,0,0
1,0.5249999999999999,0,-1,0,0,1,0,0
1,0.5249999999999999,0,-1,0,0,0,0,0
-1,0.5249999999999999,0,-1,0,0,0,0,0
-3,0.35,0,-1,0,0,0,0,0
-3,0.35,0,-1,0,0,0,0,0
-1,0.5249999999999999,0,-1,1,0,0,0,0
-1,0.5249999999999999,0,-2,1,0,0,0,0
-1,0.5249999999999999,0,-2,1,0,0,0,0
-3,0.35,0,-2,1,0,0,0,0
-3,0.35,0,-3,1,0,-6,0,0
-1,0.5249999999999999,0,-3,1,0,-6,0,0
-1,0.5249999999999999,0,-3,2,0,-6,1,0
-3,0.35,0,-3,1,0,-6,1,0
-3,0.35,0,-2,1,0,-6,1,0
-1,0.5249999999999999,0,-1,1,0,-6,1,0
-1,0.5249999999999999,0,-1,1,0,0,1,0
-1,0.5249999999999999,0,-1,1,0,0,1,0
-1,0.35,0,-1,1,0,0,1,0
-3,0.175,0,-1,0,0,0,0,0
-3,0.175,0,-1,0,0,0,0,0
-3,0.175,0,-2,0,0,0,0,0
-3,0.0,0,-2,0,0,0,0,0
-3,0.0,0,-2,0,0,0,0,0
-1,0.175,0,-1,0,0,0,0,0
-3,0.175,0,-1,0,0,0,0,0
-3,0.175,0,-2,0,0,0,0,0
-1,0.35,0,-2,0,0,0,0,0
1,0.5249999999999999,0,-1,0,0,0,0,0
1,0.7,0,-1,0,0,0,0,0
1,0.7,0,-2,0,0,1,0,0
1,0.5249999999999999,0,-2,0,0,1,0,0
3,0.5249999999999999,0,-2,0,0,1,0,0
5,0.5249999999999999,0,-1,0,0,1,0,0
3,0.35,0,-2,0,0,1,0,0
1,0.175,0,-2,0,0,1,0,0
-1,0.0,0,-2,0,0,0,0,0
-1,0.0,0,-1,0,0,0,0,0
-3,0.0,0,-1,0,0,0,0,0
-3,0.175,0,-1,0,0,0,0,0
-3,0.35,0,-1,0,0,0,0,0
-1,0.5249999999999999,0,0,1,0,0,0,0
-1,0.5249999999999999,0,0,1,0,0,0,0
-1,0.5249999999999999,0,-1,1,0,0,0,0
1,0.7,0,-1,2,0,0,0,0
1,0.7,0,-1,2,0,0,0,0
1,0.7,0,-1,3,0,0,0,0
-1,0.5249999999999999,0,-2,3,0,0,0,0
-3,0.35,0,-3,2,0,0,0,0
-1,0.5249999999999999,0,-3,2,0,0,0,0
1,0.7,0,-2,3,0,0,0,0
-1,0.5249999999999999,0,-3,2,0,0,0,0
-1,0.5249999999999999,0,-4,2,0,0,0,-1
-1,0.5249999999999999,0,-4,1,0,0,0,-1
1,0.7,0,-3,2,0,0,0,-1
1,0.7,0,-2,2,0,0,0,-1
-1,0.5249999999999999,0,-3,2,0,0,0,-1
-1,0.5249999999999999,0,-3,1,0,0,0,-1
1,0.7,0,-2,1,0,0,0,-1
1,0.7,0,-2,1,0,0,0,0
-1,0.5249999999999999,0,-2,1,0,0,0,0
-1,0.5249999999999999,0,-2,0,0,0,0,0
-1,0.5249999999999999,0,-3,0,0,0,0,0
1,0.7,0,-2,0,0,0,0,0
-1,0.5249999999999999,0,-2,0,0,0,0,0
